#\tilde{\Omega};Ω̃
\to;→
\le;≤
\ge;≥
\dots;…
\parr;⅋
\colon;:
\vert;|
# --------- brackets --------------
\left \{;{
\right \};}
\big(;(
\big);)
\bigg);)
\bigg);)
\Big(;(
\Big);)
\left(;(
\right);)
\left[;[
\right];]
\bigl \{;{
\bigr \};}
# ---------- functions -------------
\arccos
\arcsin
\arctan
\cos
\cosh
\cot
\coth
\csc
\deg
\det
\dim
\exp
\gcd
\hom
\inf
\ker
\lg
\lim
\liminf
\limsup
\ln
\log
\max
\min
\sec
\sin
\sinh
\sup
\tan
\tanh
\mod
# ---------- special letters -------
\tilde{O};Õ
\tilde{o};õ
\mathbb N;ℕ;02115
\mathbb P;ℙ;02119
\mathbb Q;ℚ;0211A
\mathbb R;ℝ;0211D
\mathbb Z;ℤ;02124
# ----------- resolving double switches
\textE;E
\tilde O;Õ
\SAT
\NP
\P
\ZPP
\poly
\rm VP|VP
# ----- parsed from: http://milde.users.sourceforge.net/LUCR/Math/unimathsymbols.html
\#;#;00023
\$;$;00024
\%;%;00025
\&;&;00026
\lbrack;[;0005B
\backslash;\;0005C
\rbrack;];0005D
\sphat;^;0005E
\_;_;0005F
\{;{;0007B
\};};0007D
\sptilde;~;0007E
\cent;¢;000A2
\pounds;£;000A3
\yen;¥;000A5
\spddot;¨;000A8
\neg;¬;000AC
\circledR;®;000AE
\pm;±;000B1
\Micro;µ;000B5
\times;×;000D7
\eth;ð;000F0
\div;÷;000F7
\imath;ı;00131
\jmath;ȷ;00237
\grave; ̀;00300
\acute; ́;00301
#\hat; ̂;00302
\tilde; ̃;00303
\bar; ̄;00304
\overline; ̅;00305
\breve; ̆;00306
\dot; ̇;00307
\ddot; ̈;00308
\mathring; ̊;0030A
\check; ̌;0030C
\utilde; ̰;00330
\underbar; ̱;00331
\underline; ̲;00332
\not; ̸;00338
\Gamma;Γ;00393
\Delta;Δ;00394
\Theta;Θ;00398
\Lambda;Λ;0039B
\Xi;Ξ;0039E
\Pi;Π;003A0
\Sigma;Σ;003A3
\Upsilon;Υ;003A5
\Phi;Φ;003A6
\Psi;Ψ;003A8
\Omega;Ω;003A9
\alpha;α;003B1
\beta;β;003B2
\gamma;γ;003B3
\delta;δ;003B4
\varepsilon;ε;003B5
\zeta;ζ;003B6
\eta;η;003B7
\theta;θ;003B8
\iota;ι;003B9
\kappa;κ;003BA
\lambda;λ;003BB
\mu;μ;003BC
\nu;ν;003BD
\xi;ξ;003BE
\pi;π;003C0
\rho;ρ;003C1
\varsigma;ς;003C2
\sigma;σ;003C3
\tau;τ;003C4
\upsilon;υ;003C5
\varphi;φ;003C6
\chi;χ;003C7
\psi;ψ;003C8
\omega;ω;003C9
\varbeta;ϐ;003D0
\vartheta;ϑ;003D1
\phi;ϕ;003D5
\varpi;ϖ;003D6
\Qoppa;Ϙ;003D8
\qoppa;ϙ;003D9
\Stigma;Ϛ;003DA
\stigma;ϛ;003DB
\Digamma;Ϝ;003DC
\digamma;ϝ;003DD
\Koppa;Ϟ;003DE
\koppa;ϟ;003DF
\Sampi;Ϡ;003E0
\sampi;ϡ;003E1
\varkappa;ϰ;003F0
\varrho;ϱ;003F1
\epsilon;ε;003F5
\backepsilon;϶;003F6
\|;‖;02016
\dagger;†;02020
\ddagger;‡;02021
\bullet;•;02022
\ldots;…;02026
\prime;′;02032
\second;″;02033
\third;‴;02034
\backprime;‵;02035
\cat;⁀;02040
\fourth;⁗;02057
\lvec;x⃐;020D0
\vec;x⃑;020D1
\LVec;x⃖;020D6
\vec;x⃗;020D7
\dddot;x⃛;020DB
\ddddot;x⃜;020DC
\overleftrightarrow;x⃡;020E1
\underleftarrow;x⃮;020EE
\underrightarrow;x⃯;020EF
\mathbb{C};ℂ;02102
\Euler;ℇ;02107
\mathcal{g};ℊ;0210A
\mathcal{H};ℋ;0210B
\mathfrak{H};ℌ;0210C
\mathbb{H};ℍ;0210D
\hslash;ℏ;0210F
\mathcal{I};ℐ;02110
\Im;ℑ;02111
\mathcal{L};ℒ;02112
\ell;𝓁;02113
\mathbb{N};ℕ;02115
\wp;℘;02118
\mathbb{P};ℙ;02119
\mathbb{Q};ℚ;0211A
\mathcal{R};ℛ;0211B
\Re;ℜ;0211C
\mathbb{R};ℝ;0211D
\mathbb{Z};ℤ;02124
\tcohm;Ω;02126
\mho;℧;02127
\mathfrak{Z};ℨ;02128
\Angstroem;Å;0212B
\mathcal{B};ℬ;0212C
\mathfrak{C};ℭ;0212D
\mathcal{e};ℯ;0212F
\mathcal{E};ℰ;02130
\mathcal{F};ℱ;02131
\Finv;Ⅎ;02132
\mathcal{M};ℳ;02133
\mathcal{o};ℴ;02134
\aleph;ℵ;02135
\beth;ℶ;02136
\gimel;ℷ;02137
\daleth;ℸ;02138
