#;\#
ű;\H{u}
ŭ;\u{u}
Ů;\r{U}
ů;\r{u}
Ű;\H{U}
Ŭ;\u{U}
Ų;\k{U}
ų;\k{u}
Ŵ;\^{W}
ŵ;\^{w}
Ŷ;\^{Y}
ť;\v{t}
š;\v{s}
Ţ;\c{T}
ţ;\c{t}
Ť;\v{T}
ū;\={u}
Ũ;\~{U}
ũ;\~{u}
Ū;\={U}
Ǎ;\v{A}
Ƃ;\={B}
ƃ;\={b}
Ɗ;\={D}
Ƌ;\={d}
ž;\v{z}
ǎ;\v{a}
Ǐ;\v{I}
ǐ;\v{i}
ź;\'{z}
ŷ;\^{y}
Ÿ;\"{Y}
Ź;\'{Z}
Ż;\.{Z}
ż;\.{z}
Ž;\v{Z}
Ǒ;\v{O}
ō;\={o}
ņ;\c{n}
Ň;\v{N}
ň;\v{n}
Ō;\={O}
Ņ;\c{N}
Ŏ;\u{O}
ŏ;\u{o}
Ő;\H{O}
ő;\H{o}
Œ;\OE
ł;{\l}
Ŀ;\.{L}
ŀ;\.{l}
Ł;{\L}
ń;\'{n}
Ń;\'{N}
Ş;\c{S}
ś;\'{s}
Ŝ;\^{S}
ŝ;\^{s}
ş;\c{s}
Š;\v{S}
Ś;\'{S}
œ;{\oe}
ŗ;\c{r}
Ŕ;\'{R}
ŕ;\'{r}
Ŗ;\c{R}
Ř;\v{R}
ř;\v{r}
ľ;\v{l}
υ;\upsilon
π;\pi
ρ;\rho
σ;\sigma
τ;\tau
φ;\phi
χ;\chi
ψ;\psi
ω;\omega
ễ;\~{ê}
ℂ;\mathbb{C}
ℍ;\mathbb{H}
θ;\theta
δ;\delta
ε;\epsilon
ζ;\zeta
η;\eta
ι;\iota
ο;\omicron
κ;\kappa
λ;\lambda
μ;\mu
ν;\nu
ξ;\xi
γ;\gamma
𝕆;\mathbb{O}
𝔾;\mathbb{G}
𝕀;\mathbb{I}
𝕁;\mathbb{J}
𝕂;\mathbb{K}
𝕃;\mathbb{L}
𝕄;\mathbb{M}
𝕊;\mathbb{S}
𝔽;\mathbb{F}
𝕋;\mathbb{T}
𝕌;\mathbb{U}
𝕍;\mathbb{V}
𝕎;\mathbb{W}
𝕏;\mathbb{X}
𝕐;\mathbb{Y}
ℓ;\ell
ℵ;\aleph
ℕ;\mathbb{N}
ℙ;\mathbb{P}
ℚ;\mathbb{Q}
ℝ;\mathbb{R}
ℤ;\mathbb{Z}
∀;\forall
𝔼;\mathbb{E}
∂;\partial
∃;\exists
𝔸;\mathbb{A}
𝔹;\mathbb{B}
𝔻;\mathbb{D}
Ȩ;\c{E}
Ǹ;\`{N}
ǹ;\`{n}
Ȧ;\.{A}
ȧ;\.{a}
ǵ;\'{g}
ȩ;\c{e}
Ȯ;\.{O}
ȯ;\.{o}
Ȳ;\={Y}
ȳ;\={y}
ǧ;\v{g}
ǒ;\v{o}
Ǔ;\v{U}
ǔ;\v{u}
Ǧ;\v{G}
Ǵ;\'{G}
Ǩ;\v{K}
ǩ;\v{k}
ǰ;\v{j}
β;\beta
Τ;\Tau
Ν;\Nu
Ξ;\Xi
Ο;\Omicron
Π;\Pi
Ρ;\Rho
Σ;\Sigma
Υ;\Upsilon
Μ;\Mu
Φ;\Phi
Χ;\Chi
Ψ;\Psi
Ω;\Omega
α;\alpha
Δ;\Delta
ˍ;{\textunderscore}
˟;\times
Α;\Alpha
Β;\Beta
Γ;\Gamma
Λ;\Lambda
Ε;\Epsilon
Ζ;\Zeta
Η;\Eta
Θ;\Theta
Ι;\Iota
Κ;\Kappa
ç;\c{c}
å;\r{a}
æ;{\ae}
ä;\"{a}
è;\`{e}
é;\'{e}
ê;\^{e}
ë;\"{e}
à;\`{a}
Û;\^{U}
Ü;\"{U}
Ý;\'{Y}
ß;{\ss}
á;\'{a}
â;\^{a}
ã;\~{a}
ó;\'{o}
ñ;\~{n}
ò;\`{o}
ô;\^{o}
ï;\"{i}
õ;\~{o}
ö;\"{o}
ì;\`{\i}
í;{\'\i}
î;\^{i}
Ú;\'{U}
Ã;\~{A}
~;\textasciitilde
±;\pm
À;\`{A}
Á;\'{A}
Â;\^{A}
};\}
Ä;\"{A}
Å;\r{A}
Æ;\AE
Ç;\c{C}
\;\backslash
$;\$
%;\%
&;\&
<;\langle
>;\rangle
[;\lbrack
{;\{
];\rbrack
_;\underline
i;i
Õ;\~{O}
Ò;\`{O}
Ó;\'{O}
Ô;\^{O}
Ñ;\~{N}
Ö;\"{O}
Ø;{\O}
Ù;\`{U}
È;\`{E}
Ì;\`{I}
É;\'{E}
Ê;\^{E}
Ë;\"{E}
Ï;\"{I}
